datum,buchung,kategorie,einnahme,ausgabe,einheit,beleg,saldo,anmerkung
2026-07-05,Miete GE01 Jul 2026 (Teilzahlung),Miete,1500.00,0.00,GE01,K030,20805.00,Bäckerei Kranz Einigung
2026-07-05,Miete GE02 Jul 2026,Miete,1240.00,0.00,GE02,K031,22045.00,
2026-07-10,Kellertrocknung FixRohr Phase 1,Instandhaltung,0.00,1800.00,,R015,20245.00,4 Wochen Trocknungsgeräte
2026-07-15,Gas Stadtwerke Leipzig Jul,Betriebskosten,0.00,2800.00,,R016,17445.00,
2026-07-15,Hausmeisterin Lehmann Jul,Betriebskosten,0.00,600.00,,R017,16845.00,
2026-07-15,Grundsteuer Q3/2026,Betriebskosten,0.00,1940.00,,R-GrSt-Q3,14905.00,
2026-07-15,Allgemeinstrom Jul,Betriebskosten,0.00,390.00,,R018,14515.00,
2026-08-05,Miete WE01-WE10 Aug 2026 (Pauschalposten),Miete,8360.00,0.00,alle WE,K040,22875.00,Sammelposition
2026-08-05,Miete GE01 Aug 2026 + Rate 1 Rückstand,Miete,3650.33,0.00,GE01,K041,26525.33,2097+1553.33
2026-08-05,Miete GE02 Aug 2026,Miete,1240.00,0.00,GE02,K042,27765.33,
2026-08-10,Kellertrocknung FixRohr Phase 2 + Abschluss,Instandhaltung,0.00,1600.00,,R020,26165.33,
2026-08-15,Gas Stadtwerke Leipzig Aug,Betriebskosten,0.00,2800.00,,R021,23365.33,
2026-08-15,Hausmeisterin Lehmann Aug,Betriebskosten,0.00,600.00,,R022,22765.33,
2026-08-15,Allgemeinstrom Aug,Betriebskosten,0.00,390.00,,R023,22375.33,
2026-09-05,Miete alle Einheiten Sep 2026,Miete,11470.00,0.00,alle,K050,33845.33,Soll vollständig
2026-09-15,Gas Stadtwerke Leipzig Sep,Betriebskosten,0.00,2800.00,,R030,31045.33,
2026-09-15,Hausmeisterin Lehmann Sep,Betriebskosten,0.00,600.00,,R031,30445.33,
2026-09-15,Grundsteuer Q4/2026,Betriebskosten,0.00,1940.00,,R-GrSt-Q4,28505.33,
2026-09-15,Allgemeinstrom Sep,Betriebskosten,0.00,390.00,,R032,28115.33,
2026-09-30,Fensterabdichtung WE09 Glaserei Brandt,Instandhaltung,0.00,640.00,,R033,27475.33,
2026-09-30,Vergütung Zwangsverwalterin Q2/3 2026 brutto,Vergütung,0.00,3289.33,,VV-01,24186.00,inkl. USt 19%
2026-10-01,Erste Auskehr an Sachsen Kreditbank AG,Auskehr,0.00,2438.67,,AK-01,21747.33,nach Gerichtsgenehmigung
2026-12-31,Zweite Auskehr an Sachsen Kreditbank AG,Auskehr,0.00,3541.22,,AK-02,18206.11,nach Gerichtsgenehmigung
2027-02-28,Schlussauskehr Sachsen Kreditbank AG,Auskehr,0.00,13743.39,,AK-03,4462.72,inkl. Kautionen separat
2027-03-01,Kautionen an Erwerber weitergeleitet,Kaution,0.00,18160.00,,KAU-AUS,0.00,alle 11 Kautionen
